ID,Escenario,Entrada,Esperado,Obtenido,Tiempo_s,Categoria_esp,Prioridad_esp,Categoria_obt,Prioridad_obt,Clasif_correcta,Cumple,Observaciones
CP01,Consulta simple,¿Qué es una remalladora y para qué sirve?,Respuesta pertinente al dominio,"**Resumen:** Una remalladora (o overlock) es una máquina de coser especializada que recorta, cose y remata el borde de la tela en una sola pasada.  **Pasos recomendados:** 1. Se usa principalmente para evitar que los tejidos se deshilachen y dar acabado profesional a costuras. 2. Trabaja con 2, 3, 4 o 5 hilos según el tipo de puntada (overlock, safety stitch, roll hem, etc.). 3. Es ideal para telas elásticas, tejidos de punto y prendas que requieren elasticidad en la costura.  **Siguiente paso:** Si buscas elegir un modelo para tu taller, te recomiendo contactar a soporte (WhatsApp, teléfono, ",10.83,informacion,baja,informacion,baja,Sí,,
CP02,Consulta de mantenimiento,¿Qué mantenimiento necesita una remalladora?,Orientación clara,"**Resumen:** La remalladora requiere limpieza, lubricación y revisión periódica de aguja y tensiones.   **Pasos recomendados:**   1. Limpiar pelusa de cuchillas, garfios y placa después de uso intenso.   2. Lubricar los puntos indicados en el manual del equipo.   3. Cambiar la aguja con regularidad.   4. Revisar la tensión de los hilos.   **Siguiente paso:** La frecuencia exacta depende del modelo; confírmala en tu manual o consulta a soporte (WhatsApp, teléfono, correo o tienda) para orientación específica.",4.90,mantenimiento,media,mantenimiento,media,Sí,,
CP03,Consulta de configuración,¿Cómo enhebro una máquina de coser recta?,Pasos comprensibles,"**Resumen:** El enhebrado varía según el modelo, pero la mayoría de máquinas rectas siguen una secuencia similar.  **Pasos recomendados:** 1. Subir el prensatelas y la aguja a su posición más alta. 2. Colocar el carrete en el portacarretes y pasar el hilo por las guías superiores. 3. Bajar el hilo por el tensor frontal, pasar por el resorte de control y subir por la palanca de toma. 4. Bajar nuevamente y pasar por las guías finales hasta la aguja (de frente hacia atrás). 5. Enhebrar la bobina, colocarla en su caja y pasar el hilo por la ranura del tensores de la bobina. 6. Girar el volante hac",28.62,configuracion,media,configuracion,media,Sí,,
CP04,Pregunta ambigua,No funciona,Solicita aclaración,"**Resumen:** Para ayudarte necesito más detalles sobre el problema.   **Siguiente paso:** ¿Qué modelo de máquina tienes y qué síntoma presenta (ej. no enciende, salta puntadas, rompe hilo, muestra código de error)? ¿Ocurre al encender, al coser o en alguna función específica?",5.62,falla,alta,falla,alta,Sí,,
CP05,Información desconocida,¿Cuál es el precio y stock exacto del modelo XZ-9000 Turbo?,No inventa información,"**Resumen:** No cuento con precios ni stock actualizados del modelo XZ-9000 Turbo.   **Siguiente paso:** Consúltalo por WhatsApp, teléfono, correo o en tienda física para recibir información confirmada por el área comercial.",2.96,informacion,baja,otros,baja,No,,
CP06,Tema fuera del dominio,¿Me das una receta de ceviche?,Redirige correctamente,"**Resumen:** Solo puedo ayudarte con postventa de Hilos y Máquinas.   **Siguiente paso:** Si tienes dudas sobre uso, mantenimiento, repuestos o garantía de tu máquina, con gusto te oriento.",2.91,otros,baja,otros,baja,Sí,,
CP07,Conversación con seguimiento,¿Qué mantenimiento necesita una remalladora? || ¿Y cada cuánto tiempo debo hacerlo?,Mantiene contexto,"**Resumen:** La frecuencia exacta varía según el modelo y la intensidad de uso; no hay un plazo único en la base de conocimiento.   **Pasos recomendados:**   1. Revisar el manual de tu remalladora para el plan de mantenimiento del fabricante.   2. Como referencia general (orientación no oficial): limpieza superficial tras cada jornada intensa; lubricación y revisión profunda cada 40–80 horas de costura.   **Siguiente paso:** Indícame el modelo de tu remalladora para darte una guía más precisa, o consúltalo directamente con soporte (WhatsApp, teléfono, correo o tienda).",60.24,mantenimiento,media,mantenimiento,media,Sí,,
CP08,Audio WAV,[caso08.wav] -> Mi máquina de coser recta hace un ruido fuerte cuando coso y la hoja se rompe seguido. ¿Qué puede estar pasando?,Transcribe correctamente,Transcripción: Mi máquina de coser recta hace un ruido fuerte cuando coso y la hoja se rompe seguido. ¿Qué puede estar pasando?,,,,,,,,
CP09,Audio MP3/M4A,[caso09.mp3] -> ¿Qué mantenimiento necesita mi remayadora? ¿Y cada cuánto tiempo debo lubricarla?,Transcribe correctamente,Transcripción: ¿Qué mantenimiento necesita mi remayadora? ¿Y cada cuánto tiempo debo lubricarla?,,,,,,,,
CP10,Audio -> chatbot,[caso10.wav] -> Mi remayadora comenzó a votar humo y tiene olor a quemado. ¿Qué debo hacer?,Transcribe y responde,"**Resumen:** Hay riesgo de seguridad; debes actuar de inmediato.   **Pasos recomendados:**   1. Desconecta la remalladora de la corriente eléctrica.   2. Deja de usarla y no intentes encenderla nuevamente.   3. Solicita una evaluación técnica lo antes posible.   **Siguiente paso:** Contacta a soporte por WhatsApp, teléfono, correo o acude a la tienda física para coordinar la revisión.",4.82,falla,critica,falla,critica,Sí,,
